"DisplayName","DisplayVersion","Publisher","InstallDate"
"Microsoft ASP.NET Core 8.0.24 Shared Framework (x64)","8.0.24.26072","Microsoft Corporation","20260216"
"Microsoft ASP.NET Core 8.0.24 Targeting Pack (x64)","8.0.24.26072","Microsoft Corporation","20260216"
"Microsoft Command Line Utilities 15 for SQL Server","15.0.1300.359","Microsoft Corporation","20250914"
"Microsoft ODBC Driver 13 for SQL Server","14.0.2110.2","Microsoft Corporation","20260513"
"Microsoft ODBC Driver 17 for SQL Server","17.10.6.1","Microsoft Corporation","20250914"
"Microsoft Office LTSC Standard 2021 - en-us","16.0.14332.20565","Microsoft Corporation",
"Microsoft Office LTSC стандартный 2021 - ru-ru","16.0.14332.20565","Microsoft Corporation",
"Microsoft OneDrive","26.074.0420.0001","Microsoft Corporation",
"Microsoft Power BI Desktop (x64)","2.93.981.0","Корпорация Майкрософт","20210605"
"Microsoft SQL Server 2012 Native Client ","11.4.7515.2","Microsoft Corporation","20251207"
"Microsoft SQL Server 2017 (64-bit)",,,
"Microsoft SQL Server 2017 (64-bit)",,"Microsoft Corporation",
"Microsoft SQL Server 2017 RsFx Driver","14.0.2110.2","Microsoft Corporation","20260513"
"Microsoft SQL Server 2017 Setup (English)","14.0.2110.2","Microsoft Corporation","20260513"
"Microsoft SQL Server 2017 T-SQL Language Service ","14.0.1000.169","Microsoft Corporation","20251204"
"Microsoft SQL Server 2019 LocalDB ","15.0.4382.1","Microsoft Corporation","20250914"
"Microsoft SQL Server 2025 LocalDB RC1","17.0.925.4","Microsoft Corporation","20251124"
"Microsoft System CLR Types для SQL Server 2019","15.0.2000.5","Microsoft Corporation","20250914"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.25.18202","Microsoft","20250807"
"Microsoft Update Health Tools","5.72.0.0","Microsoft Corporation","20231106"
"Microsoft VC++ redistributables repacked.","12.0.0.0","Intel Corporation","20180712"
"Microsoft Visual C++ 2005 Redistributable - x64 8.0.50727.4053 False","8.0.50727.4053","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2005 Redistributable - x64 8.0.50727.42 False","8.0.50727.42","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2005 Redistributable - x64 8.0.51011 False","8.0.51011","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2005 Redistributable - x64 8.0.56336 False","8.0.56336","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2005 Redistributable - x64 8.0.57102 False","8.0.57102","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2005 Redistributable - x64 8.0.58298 False","8.0.58298","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2005 Redistributable - x64 8.0.59192 False","8.0.59192","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2005 Redistributable - x64 8.0.61000","8.0.61000","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022 False","9.0.21022","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022.0 False","9.0.21022","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022.218 False","9.0.21022.218","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30411 False","9.0.30411","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729 False","9.0.30729","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.0 False","9.0.30729","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17 False","9.0.30729","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4048 False","9.0.30729.4048","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148 False","9.0.30729.4148","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148.0 False","9.0.30729.4148","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.5570 False","9.0.30729.5570","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161","9.0.30729.6161","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2010 Redistributable - x64 10.0.30319 False","10.0.30319","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2010 Redistributable - x64 10.0.40219","10.0.40219","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.51106 False","11.0.51106","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.60610 False","11.0.60610","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20191207"
